repo_name,commit_sha,time_stamp,add_lib,rem_lib,commit_message,pattern,possible_reason,num,domain,type
1and1/cosmo,6c2b53530187b9f73b5bcace79a85d5dc2c67384,2016-04-01 07:39:29,org.mariadb.jdbc:mariadb-java-client,mysql:mysql-connector-java,Replaced mysql dependency with mariadb.,org.mariadb.jdbc:mariadb-java-client mysql:mysql-connector-java,"
Replaced mysql dependency with mariadb.",16,Database,
1and1/cosmo,bcd41c77cffb67b10cc604a53ec74b4bc08782c8,2016-04-11 07:59:33,org.apache.tomcat:tomcat,commons-dbcp:commons-dbcp,"Use MariaDB driver instead of Mysql.
Use tomcat jdbc data source instead of commons-dbcp.",org.apache.tomcat:tomcat commons-dbcp:commons-dbcp,"
Use tomcat jdbc data source instead of commons-dbcp.",5,Database&Web Framework,
1and1/cosmo,63d257a32ef4b5ed5d0204f8df6400da22ee32c8,2020-03-19 16:30:14,org.slf4j:slf4j,commons-logging:commons-logging,feat: use slf4j instead of commons-logging,org.slf4j:slf4j commons-logging:commons-logging,"
feat: use slf4j instead of commons-logging",39,Logging,
1and1/snmpman,d9dc6ca6802369e9bb52ef6dac821fb90ef6627a,2020-01-30 09:37:02,org.apache.logging.log4j:log4j,org.slf4j:slf4j,Migrate from log4j1 (EOL) to log4j2,org.apache.logging.log4j:log4j org.slf4j:slf4j,"
Migrate from log4j1 (EOL) to log4j2",111,Logging,
52North/series-rest-api,156e70b2b99540a259f38975781b136e2912746a,2019-11-14 15:48:53,org.hamcrest:hamcrest,junit:junit,Update to junit 5 and update hamcrest to 2.2,org.hamcrest:hamcrest junit:junit,"
Update to junit 5 and update hamcrest to 2.2",4,Testing,
52North/WPS,97de48f12a61e52811fc891d0785a7fe5d703593,2013-07-09 13:09:45,ch.qos.logback:logback,log4j:log4j,"adjust poms: remove log4j, add slf4j+logback",ch.qos.logback:logback log4j:log4j,"
adjust poms: remove log4j, add slf4j+logback",58,Logging,
52North/WPS,97de48f12a61e52811fc891d0785a7fe5d703593,2013-07-09 13:09:45,ch.qos.logback:logback,org.slf4j:slf4j,"adjust poms: remove log4j, add slf4j+logback",ch.qos.logback:logback org.slf4j:slf4j,"
adjust poms: remove log4j, add slf4j+logback",67,Logging,
52North/WPS,97de48f12a61e52811fc891d0785a7fe5d703593,2013-07-09 13:09:45,org.slf4j:log4j-over-slf4j,log4j:log4j,"adjust poms: remove log4j, add slf4j+logback",org.slf4j:log4j-over-slf4j log4j:log4j,"adjust poms: remove log4j, add slf4j+logbackadjust poms: remove log4j, add slf4j+logback",27,Logging,
52North/WPS,97de48f12a61e52811fc891d0785a7fe5d703593,2013-07-09 13:09:45,org.slf4j:log4j-over-slf4j,org.slf4j:slf4j,"adjust poms: remove log4j, add slf4j+logback",org.slf4j:log4j-over-slf4j org.slf4j:slf4j,"adjust poms: remove log4j, add slf4j+logback",26,Logging,
99soft/guartz,9a0a7dd8fdd0fdb01e5e9f9c4a74029e677aa7c8,2011-03-30 13:41:07,ch.qos.logback:logback,log4j:log4j,"removed log4j, switched to slf4j+logback",ch.qos.logback:logback log4j:log4j,"
removed log4j, switched to slf4j+logback",58,Logging,
