repo_name,time_stamp,pattern,reason_type,group_reason
achikin/testrail-jenkins-plugin,2014-08-07 00:37:38,org.json:json com.fasterxml.jackson,7,source library
aeremenok/swing-formbuilder,2013-05-01 15:47:08,com.google.guava:guava com.google.collections:google-collections,2,project specific
agrestio/agrest,2019-05-15 15:48:33,javax.servlet:javax.servlet-api org.eclipse.jetty,2,project specific
airlift/airlift,2019-05-01 19:22:01,javax.xml.bind:jaxb-api javax.activation:activation,2,project specific
airlift/airlift,2021-03-30 19:23:01,net.bytebuddy:byte-buddy cglib:cglib,2,project specific
Alfresco/alfresco-sdk,2011-10-26 09:12:32,mysql:mysql-connector-java com.h2database:h2,7,source library
Alluxio/alluxio,2020-07-28 16:48:51,org.apache.httpcomponents commons-httpclient:commons-httpclient,13,target library
Alluxio/alluxio,2020-07-28 16:48:51,org.apache.httpcomponents commons-httpclient:commons-httpclient,1,project specific
apache/accumulo,2020-02-24 21:57:29,org.apache.logging.log4j:log4j org.slf4j:slf4j,1,project specific
apache/airavata,2012-10-21 03:09:16,org.slf4j:slf4j log4j:log4j,1,project specific
apache/airavata,2012-10-21 03:09:16,org.slf4j:jcl-over-slf4j org.slf4j:slf4j,1,project specific
apache/airavata,2017-05-24 15:33:48,com.fasterxml.jackson com.sun.jersey:jersey,1,project specific
apache/archiva,2012-09-22 22:13:14,org.easymock:easymockclassextension easymock:easymock,6,source library
apache/archiva,2012-06-16 14:10:18,org.apache.tomcat:tomcat javax.servlet:servlet-api,6,source library
apache/brooklyn-server,2012-12-04 23:39:01,ch.qos.logback:logback org.slf4j:slf4j,3,target library
apache/brooklyn-server,2012-12-04 23:39:01,ch.qos.logback:logback org.slf4j:slf4j,4,target library
apache/camel,2016-10-19 11:11:19,org.easymock:easymock org.easymock:easymockclassextension,6,source library
apache/commons-csv,2019-10-05 18:59:58,org.hamcrest:hamcrest junit:junit,6,source library
apache/cxf-fediz,2015-09-21 16:01:22,org.apache.tomcat.embed:tomcat-embed org.eclipse.jetty,2,project specific
apache/flink,2014-09-28 09:53:43,log4j:log4j ch.qos.logback:logback,2,project specific
apache/flink,2014-09-28 09:53:43,org.slf4j:slf4j ch.qos.logback:logback,2,project specific
apache/incubator-ranger,2014-11-06 01:57:36,org.powermock:powermock org.mockito:mockito,10,source library
apache/james-jdkim,2011-07-25 10:42:48,org.apache.geronimo.javamail:geronimo-javamail_1.4_mail javax.mail:mail,1,project specific
apache/jclouds,2017-09-17 22:45:46,org.easymock:easymock org.easymock:easymockclassextension,6,source library
apache/maven-release,2018-01-09 21:43:49,org.apache.maven:maven org.apache.maven.shared:maven-plugin-testing-harness,15,project specific
apache/maven-release,2018-01-09 21:43:49,org.apache.maven.plugin-testing:maven-plugin-testing-harness org.apache.maven:maven,15,project specific
apache/maven-release,2018-01-09 21:43:49,org.apache.maven.shared:maven-artifact-transfer org.apache.maven:maven,15,project specific
apache/openejb,2010-08-03 15:33:04,org.osgi:org.osgi org.apache.felix:org.osgi,1,project specific
apache/tika,2017-03-23 23:38:05,org.slf4j:slf4j log4j:log4j,1,project specific
apache/tika,2017-03-23 23:38:05,org.slf4j:jcl-over-slf4j org.slf4j:slf4j,1,project specific
apache/tika,2017-03-23 23:38:05,org.slf4j:jul-to-slf4j log4j:log4j,1,project specific
apache/tomee,2010-08-03 15:33:04,org.osgi:org.osgi org.apache.felix:org.osgi,1,project specific
apache/zookeeper,2020-10-08 18:03:51,com.fasterxml.jackson com.googlecode.json-simple:json-simple,6,source library
apache/zookeeper,2020-10-08 18:03:51,com.fasterxml.jackson com.googlecode.json-simple:json-simple,1,project specific
ashleyj/aura,2014-05-22 07:41:31,com.googlecode.json-simple:json-simple org.json:json,9,project specific
atlanmod/NeoEMF,2016-05-05 12:13:31,org.hamcrest:hamcrest org.mockito:mockito,4,target library
awslabs/payload-offloading-java-common-lib-for-aws,2020-08-19 20:53:10,software.amazon.awssdk com.amazonaws:aws-java-sdk,2,project specific
bitcoin-solutions/trezorj,2013-09-17 20:04:29,org.slf4j:slf4j ch.qos.logback:logback,4,target library
BoD/android-contentprovider-generator,2017-02-04 15:43:59,com.fasterxml.jackson com.google.code.gson:gson,7,source library
bonitasoft/bonita-engine,2018-03-09 20:43:35,ch.qos.logback:logback org.slf4j:slf4j,1,project specific
c4fcm/CLIFF,2013-07-17 18:23:40,com.google.code.gson:gson com.googlecode.json-simple:json-simple,1,project specific
c4fcm/CLIFF,2013-07-17 18:23:40,com.google.code.gson:gson com.googlecode.json-simple:json-simple,3,target library
candlepin/candlepin,2019-05-09 19:40:14,org.junit org.mockito:mockito,2,project specific
castorini/Anserini,2018-07-09 18:46:05,com.fasterxml.jackson com.google.code.gson:gson,11,target library
christophd/citrus,2020-09-09 07:47:38,jakarta.ws.rs:jakarta.ws.rs-api javax.xml.bind:jaxb-api,1,project specific
christophd/citrus-samples,2017-02-20 07:13:13,junit:junit org.testng:testng,7,source library
cloudfoundry/cf-java-client,2017-11-28 19:52:03,org.yaml:snakeyaml com.fasterxml.jackson,3,target library
cloudfoundry/cf-java-client,2013-09-03 21:42:55,org.apache.httpcomponents commons-httpclient:commons-httpclient,6,source library
Comcast/zucchini,2015-08-11 23:18:09,com.google.code.gson:gson org.json:json,2,project specific
conveyal/analysis-backend,2017-02-16 00:43:02,org.apache.httpcomponents com.mashape.unirest:unirest-java,7,source library
crabzilla/crabzilla,2017-06-04 19:02:17,com.fasterxml.jackson com.google.code.gson:gson,2,project specific
cryptomator/siv-mode,2016-06-24 16:51:57,com.madgag.spongycastle:core org.bouncycastle,2,project specific
cwoolner/flex-poker,2020-04-19 21:56:34,org.apache.commons:commons-lang3 commons-logging:commons-logging,6,source library
cwoolner/flex-poker,2020-04-19 21:56:34,org.springframework.boot:spring-boot io.spring.platform:platform-bom,6,source library
dana-i2cat/opennaas,2013-06-18 10:55:19,org.codehaus.jackson:jackson com.fasterxml.jackson,2,project specific
dashbuilder/dashbuilder,2017-04-26 18:10:51,org.jboss.weld.se:weld-se-core org.jboss.weld:weld,2,project specific
davemckain/qtiworks,2012-05-21 20:59:23,org.codehaus.jackson:jackson com.fasterxml.jackson,2,project specific
dboissier/jenkins-control-plugin,2012-10-10 11:53:50,com.fasterxml.jackson com.googlecode.json-simple:json-simple,5,target library
deluan/shiro-faces,2011-10-05 13:54:27,com.sun.faces:jsf com.sun.facelets:jsf,6,source library
digital-preservation/droid,2014-08-01 11:51:48,org.hibernate:hibernate org.springframework:spring,2,project specific
dkpro/dkpro-similarity,2015-04-06 17:41:56,net.sf.trove4j:trove4j trove:trove,2,project specific
droolsjbpm/drools,2012-08-08 14:11:04,ch.qos.logback:logback org.slf4j:slf4j,6,source library
droolsjbpm/droolsjbpm-integration,2012-08-08 14:10:59,ch.qos.logback:logback org.slf4j:slf4j,6,source library
eclipse/che,2017-09-27 12:33:11,org.eclipse.persistence:org.eclipse.persistence.jpa org.eclipse.persistence:eclipselink,1,project specific
eclipse/gemini.blueprint,2012-05-21 13:13:54,org.osgi:org.osgi org.osgi:osgi,6,source library
eclipse/leshan,2016-11-15 16:22:29,org.slf4j:slf4j org.apache.logging.log4j:log4j,2,project specific
epam/parso,2020-11-27 15:11:53,org.assertj:assertj-core org.easytesting:fest-assert,6,source library
errai/errai,2012-09-13 15:38:56,com.h2database:h2 org.hsqldb:hsqldb,4,target library
exoplatform/ecms,2016-03-15 09:57:14,com.lowagie:itext com.itextpdf:itextpdf,1,project specific
Fabric3/fabric3-core,2013-06-26 06:00:24,org.easymock:easymock org.easymock:easymockclassextension,6,source library
fabric8io/fabric8,2014-10-17 14:16:17,org.assertj:assertj-core org.easytesting:fest-assert,4,target library
fabric8io/kubernetes-client,2019-10-26 11:24:57,org.slf4j:slf4j org.apache.logging.log4j:log4j,1,project specific
FasterXML/jackson-datatype-hibernate,2019-06-05 12:29:20,javax.transaction:javax.transaction-api javax.transaction:jta,9,project specific
fizzed/stork,2019-07-29 13:53:16,org.glassfish:javax.el javax.el:javax.el-api,2,project specific
g0t4/jenkins2-course-spring-boot,2013-11-29 16:56:17,org.apache.httpcomponents commons-httpclient:commons-httpclient,4,target library
GateNLP/gate-core,2020-01-16 09:59:20,org.slf4j:jcl-over-slf4j commons-logging:commons-logging,1,project specific
geertvos/automator,2020-12-22 14:04:38,io.fabric8:kubernetes io.kubernetes:client-java,4,target library
Geomatys/constellation,2015-09-07 17:01:05,org.flywaydb:flyway-core org.liquibase:liquibase-core,4,target library
geoserver/geoserver,2019-06-01 12:36:14,org.easymock:easymock org.easymock:easymockclassextension,6,source library
gisgraphy/gisgraphy,2017-03-29 13:55:18,org.springframework:spring org.hibernate:hibernate,2,project specific
google/caliper,2015-11-16 18:33:06,com.google.dagger:dagger com.google.inject:guice,3,target library
google/caliper,2015-11-16 18:33:06,com.google.dagger:dagger com.google.inject:guice,2,project specific
graknlabs/grakn,2017-05-24 07:12:52,org.slf4j:log4j-over-slf4j org.slf4j:slf4j,2,project specific
graknlabs/grakn,2017-05-24 07:12:52,org.slf4j:jcl-over-slf4j org.slf4j:slf4j,2,project specific
Graylog2/graylog2-server,2015-09-29 14:26:57,org.apache.logging.log4j:log4j org.slf4j:slf4j,1,project specific
Graylog2/graylog2-server,2015-09-29 14:26:57,org.slf4j:log4j-over-slf4j org.slf4j:slf4j,1,project specific
Graylog2/graylog2-server,2015-09-29 14:26:57,org.apache.logging.log4j:log4j org.slf4j:jul-to-slf4j,1,project specific
Graylog2/graylog2-server,2015-09-29 14:26:57,org.apache.logging.log4j:log4j org.slf4j:jcl-over-slf4j,1,project specific
hazelcast/hazelcast-simulator,2016-01-25 13:27:19,org.slf4j:slf4j ch.qos.logback:logback,1,project specific
hazelcast/hazelcast-simulator,2016-01-25 13:27:19,org.slf4j:slf4j ch.qos.logback:logback,4,target library
hortonworks/streamline,2016-02-12 02:23:52,org.slf4j:jcl-over-slf4j org.slf4j:slf4j,1,project specific
hortonworks/streamline,2016-02-12 02:23:52,org.slf4j:log4j-over-slf4j org.slf4j:slf4j,1,project specific
inbloom/secure-data-service,2014-03-07 16:39:04,org.apache.httpcomponents commons-httpclient:commons-httpclient,1,project specific
jayway/powermock,2010-07-14 14:02:08,org.easymock:easymock org.easymock:easymockclassextension,6,source library
jberet/jsr352,2013-06-20 20:35:12,org.jboss.spec.javax javax.transaction:jta,2,project specific
jboss/jboss-javaee-specs,2015-05-11 15:57:29,org.jboss.spec.javax org.jboss.resteasy:jaxrs-api,2,project specific
jenkinsci/build-failure-analyzer-plugin,2020-11-26 14:18:06,org.mongodb:mongodb-driver org.mongodb:mongo-java-driver,2,project specific
jenkinsci/ircbot-plugin,2011-06-26 14:28:36,org.pircbotx:pircbotx pircbot:pircbot,3,target library
jenkinsci/jacoco-plugin,2013-07-21 12:43:24,org.easymock:easymock org.easymock:easymockclassextension,6,source library
jersey/jersey-1.x,2009-09-02 13:00:25,org.glassfish:javax.servlet javax.servlet:servlet-api,2,project specific
jetoile/hadoop-unit,2017-07-12 14:25:16,org.apache.logging.log4j:log4j org.slf4j:jul-to-slf4j,2,project specific
jitlogic/zorka,2013-09-11 16:47:07,org.jboss.resteasy:resteasy com.sun.jersey:jersey,3,target library
jmockit/jmockit1,2014-08-30 02:01:21,javax:javaee-api javax.persistence:persistence-api,2,project specific
joelittlejohn/jsonschema2pojo,2011-09-25 21:31:38,com.beust:jcommander commons-cli:commons-cli,3,target library
jOOQ/jOOQ,2018-07-05 10:45:04,org.apache.logging.log4j:log4j org.slf4j:slf4j,1,project specific
jOOQ/jOOQ,2018-07-05 10:45:04,org.slf4j:slf4j log4j:log4j,1,project specific
jrtom/jung,2017-11-21 16:27:19,ch.qos.logback:logback org.apache.logging.log4j:log4j,10,source library
junit-pioneer/convert-junit4-to-junit5,2020-07-26 14:43:49,junit:junit org.hamcrest:hamcrest,1,project specific
jutzig/jabylon,2012-11-19 08:33:35,org.osgi:org.osgi org.eclipse:osgi,2,project specific
kevwil/aspen,2011-02-08 19:14:37,org.easymock:easymock org.easymock:easymockclassextension,6,source library
keycloak/keycloak,2015-11-18 17:21:46,org.wildfly:wildfly org.jboss.as:jboss-as-arquillian,2,project specific
kiegroup/kogito-runtimes,2012-08-08 14:11:04,ch.qos.logback:logback org.slf4j:slf4j,6,source library
killbill/killbill-commons,2020-04-08 15:59:47,io.airlift:testing-mysql-server mysql:mysql-connector-mxj,3,target library
kohsuke/hudson,2015-09-01 20:47:13,org.slf4j:slf4j commons-logging:commons-logging,1,project specific
kohsuke/hudson,2015-09-01 20:47:13,org.slf4j:jcl-over-slf4j commons-logging:commons-logging,1,project specific
kohsuke/hudson,2015-09-01 20:47:13,org.slf4j:log4j-over-slf4j commons-logging:commons-logging,1,project specific
liefke/org.fastnate,2015-01-04 21:12:03,org.assertj:assertj-core org.easytesting:fest-assert,4,target library
liferay/liferay-faces,2013-11-12 17:30:52,javax.servlet.jsp:javax.servlet.jsp-api javax.servlet:jstl,2,project specific
liferay/liferay-faces,2013-11-12 17:30:52,javax.servlet:javax.servlet-api javax.servlet:jstl,2,project specific
liferay/liferay-faces,2013-11-12 17:30:52,javax.servlet.jsp:javax.servlet.jsp-api javax.servlet:servlet-api,2,project specific
liferay/liferay-faces,2013-11-12 17:30:52,javax.servlet:javax.servlet-api javax.servlet.jsp:jsp-api,2,project specific
limone/MailJimp,2011-11-18 03:32:54,ch.qos.logback:logback log4j:log4j,1,project specific
limone/MailJimp,2011-11-18 03:32:54,ch.qos.logback:logback org.slf4j:slf4j,1,project specific
lkiesow/opencast,2013-07-25 16:03:40,org.easymock:easymock org.easymock:easymockclassextension,6,source library
mapstruct/mapstruct,2014-04-06 16:50:37,junit:junit org.testng:testng,3,target library
mapstruct/mapstruct,2014-04-06 16:50:37,junit:junit org.testng:testng,10,source library
mapstruct/mapstruct,2014-04-06 16:50:37,org.jboss.arquillian org.testng:testng,3,target library
mapstruct/mapstruct,2014-04-06 16:50:37,org.jboss.arquillian org.testng:testng,10,source library
mapstruct/mapstruct,2014-04-06 16:50:37,junit:junit org.jboss.arquillian,3,target library
mapstruct/mapstruct,2014-04-06 16:50:37,junit:junit org.jboss.arquillian,10,source library
McPringle/sportchef,2016-03-06 19:04:10,org.mockito:mockito org.easymock:easymock,4,target library
migtavares/owmClient,2013-02-20 20:57:20,org.apache.httpcomponents commons-httpclient:commons-httpclient,2,project specific
ModeShape/modeshape,2016-09-27 06:08:56,com.github.ben-manes.caffeine:caffeine com.googlecode.concurrentlinkedhashmap:concurrentlinkedhashmap-lru,6,source library
MorphiaOrg/morphia,2020-01-21 03:38:29,org.mongodb:mongodb-driver org.mongodb:mongo-java-driver,2,project specific
mybatis/cdi,2015-10-03 03:20:37,org.jboss.spec.javax javax.transaction:transaction-api,2,project specific
mybatis/mybatis-3,2016-05-29 01:54:48,org.jboss.spec.javax javax.transaction:transaction-api,2,project specific
naver/arcus-java-client,2020-01-21 09:49:43,org.apache.logging.log4j:log4j org.slf4j:slf4j,10,source library
naver/arcus-spring,2020-01-09 06:31:42,org.apache.logging.log4j:log4j org.slf4j:slf4j,10,source library
