repo_name,time_stamp,pattern,reason_type,group_reason
500tech/angular-kick,2015-02-27 09:30:32,del gulp,6,source library
adeira/universe,2019-04-03 09:03:38,next-transpile-modules next-plugin-transpile-modules,6,source library
alexa/skill-sample-nodejs-zero-to-hero,2019-04-06 00:01:04,axios node-fetch,3,target library
angular/angular-cli,2019-04-01 17:53:12,open opn,6,source library
AudiusProject/audius-protocol,2019-08-13 02:06:33,ipfs-http-client ipfs-api,5,target library
Availity/availity-workflow,2018-03-30 20:28:53,jest karma,2,project specific
axelclark/ex338,2020-07-25 17:40:29,postcss-import sass-loader,6,source library
bakdata/conquery,2017-12-12 15:37:20,husky ghooks,6,source library
bbyars/mountebank,2013-11-01 22:30:22,mocha nodeunit,3,target library
bids-standard/bids-validator,2021-03-08 13:06:13,sass @zeit/next-sass,6,source library
Breeze/breeze.server.net,2014-10-22 23:01:41,gulp grunt,6,source library
cdglabs/ohm,2021-02-25 21:04:28,ava tape,3,target library
Chocobozzz/PeerTube,2020-11-19 14:57:52,sass node-sass,6,source library
christianvoigt/argdown,2020-05-05 15:51:33,d3-selection d3,16,target library
dreamnettech/dreamtime,2021-01-27 02:56:21,go-ipfs go-ipfs-dep,7,source library
Edgeryders-Participio/realities,2018-11-11 06:06:03,apollo graphql-server-express,6,source library
EFForg/https-everywhere,2020-06-29 20:33:54,@octokit/rest github,13,target library
electrode-io/electrode,2018-12-10 18:49:40,typescript babel,2,project specific
electrode-io/electrode,2019-04-25 20:17:31,core-js babel,6,source library
electrode-io/electrode,2019-04-25 20:17:31,regenerator-runtime babel,6,source library
esp/esp-js,2017-04-26 07:28:41,uuid node-uuid,6,source library
facebook/Docusaurus,2021-04-30 16:06:53,css-minimizer-webpack-plugin optimize-css-assets-webpack-plugin,2,project specific
FelixHenninger/lab.js,2018-07-28 21:38:46,postcss-preset-env postcss-cssnext,3,target library
flarum/core,2018-06-20 03:50:31,flarum-webpack-config flarum-gulp,2,project specific
flarum/core,2018-06-20 03:50:31,webpack gulp,2,project specific
flarum/flarum-ext-tags,2018-06-20 04:01:45,flarum-webpack-config flarum-gulp,2,project specific
flarum/flarum-ext-tags,2018-06-20 04:01:45,webpack gulp,2,project specific
flow-typed/flow-typed,2018-04-18 23:34:51,@octokit/rest github,6,source library
fusionjs/fusionjs,2020-11-20 20:34:29,axios request-promise,6,source library
gatsbyjs/gatsby,2019-04-18 16:42:18,got request,2,project specific
hpcc-systems/Visualization,2020-06-09 10:50:42,eslint tslint,6,source library
hpcc-systems/Visualization,2020-06-09 10:50:42,typescript-eslint tslint,6,source library
illright/attractions,2020-12-11 18:15:53,sass node-sass,6,source library
infinitered/ignite,2017-01-09 19:13:07,husky ghooks,6,source library
influxdata/chronograf,2018-03-01 18:16:03,uuid node-uuid,6,source library
ipfs/js-ipfs,2020-07-16 10:49:37,go-ipfs go-ipfs-dep,4,target library
ipfs/js-ipfsd-ctl,2020-07-16 09:25:14,go-ipfs go-ipfs-dep,4,target library
jhipster/generator-jhipster,2021-03-31 16:24:55,css-minimizer-webpack-plugin optimize-css-assets-webpack-plugin,2,project specific
jondashkyle/hardly-everything,2017-05-30 04:12:45,uuid node-uuid,6,source library
jow-/luci-ng,2021-02-13 16:26:32,eslint tslint,6,source library
jow-/luci-ng,2021-02-13 16:26:32,typescript-eslint tslint,6,source library
jsdrupal/drupal-react-db-log,2017-11-09 16:32:06,superagent axios,3,target library
Kaetram/Kaetram-Open,2020-08-28 15:21:28,lodash underscore,3,target library
kindlyops/havengrc,2019-06-12 04:43:16,terser-webpack-plugin uglifyjs-webpack-plugin,1,project specific
kontur-edu/uLearn,2021-02-08 12:47:47,@sentry/browser raven-js,6,source library
krausest/js-framework-benchmark,2017-11-12 12:30:33,webpack rollup-plugin,7,source library
krausest/js-framework-benchmark,2017-11-12 12:30:33,webpack babel,7,source library
lidaof/eg-react,2018-06-12 20:49:58,types/react react,3,target library
livecoders/website,2020-06-05 01:48:50,webpack rollup,10,source library
livecoders/website,2020-06-05 01:48:50,webpack @rollup/plugin-node-resolve,10,source library
manshar/manshar,2016-03-20 01:51:57,gulp load-grunt-tasks,4,target library
material-components/material-components-web,2017-01-09 22:20:34,react babel,4,target library
mccxiv/tc,2016-04-16 21:50:52,axios request-promise,2,project specific
Microsoft/PowerBI-Developer-Samples,2020-04-20 08:36:32,node-fetch request,3,target library
mistercrunch/panoramix,2020-02-20 17:54:33,typescript-eslint tslint,6,source library
mlaursen/react-md,2017-10-05 20:33:20,npm-run-all concurrently,2,project specific
